番号,x座標,y座標
0,162,2
1,162,37
2,170,37
3,171,36
4,172,36
5,174,38
6,175,38
7,176,39
8,176,42
9,178,42
10,179,41
11,180,41
12,181,40
13,181,39
14,184,36
15,185,36
16,186,35
17,188,35
18,188,34
19,189,33
20,192,33
21,193,32
22,193,31
23,194,30
24,195,30
25,195,26
26,196,25
27,196,23
28,197,22
29,197,21
30,198,20
31,199,21
32,202,21
33,203,22
34,205,22
35,206,23
36,207,23
37,208,24
38,208,26
39,209,27
40,207,29
41,207,30
42,206,31
43,206,35
44,208,35
45,208,34
46,209,33
47,213,33
48,214,32
49,217,32
50,218,33
51,221,33
52,222,34
53,222,35
54,223,36
55,225,36
56,227,38
57,227,40
58,226,41
59,226,42
60,228,44
61,228,46
62,229,47
63,227,49
64,227,51
65,226,52
66,226,53
67,225,54
68,224,54
69,224,66
70,225,66
71,226,67
72,226,75
73,227,76
74,227,77
75,225,79
76,224,79
77,224,80
78,223,81
79,222,81
80,221,82
81,221,83
82,220,84
83,219,84
84,219,86
85,218,87
86,218,88
87,217,89
88,217,98
89,216,99
90,216,103
91,217,104
92,217,106
93,218,107
94,216,109
95,216,111
96,215,112
97,214,112
98,214,113
99,213,114
100,213,115
101,212,116
102,212,122
103,213,123
104,213,125
105,214,126
106,215,126
107,216,127
108,216,131
109,217,132
110,220,132
111,220,128
112,221,127
113,222,127
114,223,126
115,225,126
116,226,125
117,226,124
118,227,123
119,236,123
120,237,124
121,237,125
122,238,125
123,239,126
124,241,126
125,243,128
126,243,132
127,244,133
128,245,133
129,246,134
130,246,135
131,247,135
132,249,137
133,249,138
134,248,139
135,248,140
136,246,142
137,244,142
138,243,143
139,242,143
140,241,144
141,241,145
142,240,146
143,239,146
144,239,153
145,240,153
146,241,154
147,241,155
148,242,156
149,245,156
150,246,155
151,255,155
152,255,154
153,256,153
154,263,153
155,264,152
156,265,152
157,266,151
158,266,149
159,267,148
160,268,148
161,269,149
162,269,150
163,270,150
164,272,152
165,272,153
166,273,154
167,273,155
168,274,156
169,275,156
170,276,157
171,276,158
172,275,159
173,274,159
174,274,160
175,270,164
176,269,164
177,269,166
178,267,168
179,266,168
180,265,169
181,262,169
182,262,170
183,260,172
184,258,172
185,257,173
186,253,173
187,252,172
188,246,172
189,246,173
190,245,174
191,244,174
192,244,177
193,243,178
194,243,181
195,242,182
196,241,182
197,240,183
198,237,183
199,236,182
200,236,169
201,237,168
202,237,167
203,236,166
204,236,164
205,235,163
206,235,162
207,234,162
208,233,161
209,233,158
210,232,157
211,233,156
212,233,154
213,234,153
214,235,153
215,235,151
216,234,151
217,233,150
218,233,148
219,232,147
220,229,147
221,228,146
222,226,146
223,225,145
224,225,144
225,223,144
226,222,143
227,221,143
228,220,144
229,217,144
230,217,145
231,215,147
232,214,147
233,213,148
234,213,150
235,212,151
236,212,155
237,213,156
238,215,156
239,216,157
240,215,158
241,212,158
242,211,159
243,211,160
244,210,161
245,209,161
246,207,163
247,207,165
248,206,166
249,206,168
250,205,169
251,204,169
252,204,175
253,205,175
254,206,176
255,206,181
256,205,182
257,204,182
258,203,183
259,200,180
260,200,178
261,199,178
262,197,176
263,193,176
264,192,175
265,192,174
266,191,173
267,191,172
268,190,171
269,190,169
270,189,169
271,187,167
272,187,166
273,186,165
274,186,164
275,185,163
276,185,162
277,184,162
278,183,161
279,183,159
280,182,158
281,182,157
282,181,156
283,181,152
284,180,151
285,180,149
286,179,149
287,178,148
288,178,147
289,176,145
290,176,144
291,174,144
292,173,143
293,172,143
294,171,142
295,162,142
296,162,273
297,175,273
298,176,272
299,177,272
300,178,273
301,180,273
302,181,274
303,181,275
304,182,275
305,183,276
306,186,276
307,187,277
308,187,280
309,186,281
310,182,281
311,180,283
312,179,283
313,178,284
314,178,285
315,176,287
316,176,295
317,178,297
318,177,298
319,176,298
320,175,299
321,173,299
322,173,300
323,172,301
324,169,301
325,168,302
326,162,302
327,162,400
328,168,400
329,168,399
330,169,398
331,170,398
332,171,397
333,172,397
334,172,396
335,173,395
336,173,392
337,174,391
338,175,391
339,175,386
340,176,385
341,176,372
342,175,371
343,175,368
344,174,368
345,173,367
346,174,366
347,175,366
348,176,365
349,176,364
350,177,363
351,178,363
352,179,364
353,179,365
354,181,365
355,183,367
356,183,378
357,184,379
358,184,383
359,185,383
360,186,384
361,186,386
362,187,387
363,187,395
364,186,396
365,186,397
366,188,399
367,188,401
368,189,402
369,190,402
370,191,403
371,196,403
372,197,402
373,198,403
374,201,403
375,202,404
376,202,405
377,204,407
378,205,407
379,206,408
380,206,410
381,205,411
382,204,411
383,204,412
384,202,414
385,202,415
386,201,416
387,192,416
388,191,417
389,191,421
390,193,423
391,195,423
392,196,424
393,196,425
394,200,425
395,203,428
396,203,435
397,202,436
398,202,441
399,201,442
400,198,442
401,198,450
402,199,451
403,199,452
404,200,452
405,201,453
406,203,453
407,204,454
408,204,455
409,206,455
410,207,456
411,208,456
412,209,457
413,209,468
414,208,469
415,208,470
416,206,472
417,198,472
418,197,473
419,181,473
420,180,474
421,162,474
422,162,479
423,639,479
