番号,x座標,y座標
0,2,2
1,2,126
2,8,126
3,9,125
4,11,125
5,11,124
6,12,123
7,13,124
8,13,125
9,15,125
10,16,126
11,22,126
12,23,127
13,31,127
14,32,128
15,32,131
16,34,133
17,42,133
18,43,134
19,43,135
20,46,135
21,47,136
22,51,136
23,52,137
24,52,138
25,51,139
26,51,140
27,50,141
28,48,141
29,47,142
30,47,143
31,46,144
32,46,146
33,45,147
34,44,147
35,44,148
36,43,149
37,43,151
38,42,152
39,41,152
40,40,153
41,34,153
42,33,154
43,31,154
44,31,155
45,30,156
46,22,156
47,21,157
48,16,157
49,15,158
50,2,158
51,2,440
52,6,440
53,8,442
54,8,443
55,9,444
56,9,446
57,10,446
58,11,447
59,11,448
60,12,449
61,12,451
62,13,452
63,13,453
64,14,454
65,14,455
66,15,455
67,16,456
68,16,457
69,17,458
70,17,460
71,19,462
72,19,465
73,20,465
74,21,466
75,21,468
76,22,469
77,22,471
78,24,473
79,24,476
80,25,476
81,26,477
82,26,479
83,639,479
