番号,x座標,y座標
0,162,279
1,162,320
2,166,320
3,168,322
4,168,325
5,169,326
6,169,328
7,170,328
8,171,329
9,171,332
10,172,333
11,172,335
12,173,336
13,173,338
14,174,339
15,174,341
16,175,341
17,176,342
18,176,345
19,178,347
20,178,350
21,179,351
22,179,353
23,180,353
24,181,354
25,181,356
26,182,357
27,182,358
28,183,359
29,183,362
30,184,363
31,184,365
32,185,365
33,186,366
34,186,368
35,187,369
36,187,370
37,188,371
38,188,373
39,189,374
40,189,376
41,190,376
42,191,377
43,191,380
44,192,381
45,192,382
46,193,383
47,193,385
48,194,386
49,194,388
50,195,388
51,196,389
52,196,392
53,197,393
54,197,395
55,198,396
56,198,397
57,199,398
58,199,400
59,200,400
60,201,401
61,201,403
62,202,404
63,202,405
64,203,406
65,203,407
66,204,408
67,205,408
68,206,409
69,206,411
70,209,414
71,209,415
72,210,415
73,214,419
74,214,420
75,215,420
76,217,422
77,218,422
78,219,423
79,220,423
80,221,424
81,221,425
82,222,425
83,224,427
84,226,427
85,228,429
86,228,430
87,230,430
88,231,431
89,232,431
90,234,433
91,234,437
92,266,437
